TIMESTAMP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,EXPIRY_DT,OPEN_INT,CONTRACTS
2010-07-21,263.25,267.5,261.5,263.0,263.0,2010-07-29,11570000.0,2196.0
2010-07-22,262.2,264.0,260.7,263.7,263.7,2010-07-29,10994000.0,1753.0
2010-07-23,262.35,264.45,260.45,262.9,262.9,2010-07-29,10233000.0,2008.0
2010-07-26,263.45,264.7,261.5,262.7,262.7,2010-07-29,9209000.0,3029.0
2010-07-27,262.85,266.5,260.1,260.95,260.95,2010-07-29,6841000.0,4770.0
2010-07-28,261.0,262.3,252.5,253.25,253.25,2010-07-29,5396000.0,4321.0
2010-07-29,254.0,261.2,252.05,258.0,258.0,2010-08-26,9738000.0,5735.0
2010-07-30,258.5,258.5,249.7,251.2,251.2,2010-08-26,10570000.0,3743.0
2010-08-02,252.5,254.75,252.15,253.5,253.5,2010-08-26,10572000.0,1256.0
2010-08-03,253.15,254.8,252.35,253.35,253.35,2010-08-26,10828000.0,1047.0
2010-08-04,252.5,257.55,251.1,256.15,256.15,2010-08-26,11152000.0,2138.0
2010-08-05,256.0,258.95,254.5,256.1,256.1,2010-08-26,11086000.0,1608.0
2010-08-06,256.95,256.95,254.2,254.6,254.6,2010-08-26,11495000.0,1330.0
2010-08-09,255.5,256.45,253.7,255.5,255.5,2010-08-26,11506000.0,892.0
2010-08-10,255.05,260.9,253.6,260.3,260.3,2010-08-26,12124000.0,3039.0
2010-08-11,260.9,265.0,259.3,260.1,260.1,2010-08-26,12604000.0,2755.0
2010-08-12,259.0,266.4,258.65,265.15,265.15,2010-08-26,12891000.0,3017.0
2010-08-13,266.0,267.7,264.55,266.65,266.65,2010-08-26,12742000.0,1680.0
2010-08-16,267.75,271.95,267.0,269.25,269.25,2010-08-26,12781000.0,2479.0
2010-08-17,269.1,269.1,265.35,266.4,266.4,2010-08-26,12638000.0,1408.0
2010-08-18,266.95,271.2,264.35,270.0,270.0,2010-08-26,13041000.0,2250.0
2010-08-19,270.0,273.6,269.2,273.3,273.3,2010-08-26,12957000.0,2655.0
2010-08-20,272.8,274.5,268.6,269.1,269.1,2010-08-26,12174000.0,2297.0
2010-08-23,269.4,270.75,267.55,268.15,268.15,2010-08-26,9603000.0,4508.0
2010-08-24,267.5,271.75,266.5,270.5,270.5,2010-08-26,8128000.0,4097.0
2010-08-25,270.0,272.45,267.65,268.5,268.5,2010-08-26,5354000.0,4728.0
2010-08-26,268.5,270.25,264.4,265.4,265.4,2010-09-30,12133000.0,4872.0
2010-08-27,265.5,265.5,262.8,264.75,264.75,2010-09-30,12227000.0,1326.0
2010-08-30,265.45,265.65,262.35,264.3,264.3,2010-09-30,12289000.0,1159.0
2010-08-31,264.0,266.0,263.4,264.6,264.6,2010-09-30,12107000.0,1314.0
2010-09-01,264.7,266.9,264.2,266.5,266.5,2010-09-30,12064000.0,1225.0
2010-09-02,266.75,271.5,266.1,269.0,269.0,2010-09-30,12145000.0,2020.0
2010-09-03,269.15,273.3,267.35,272.6,272.6,2010-09-30,12085000.0,2517.0
2010-09-06,272.95,273.65,270.35,271.85,271.85,2010-09-30,12197000.0,1694.0
2010-09-07,270.85,271.75,268.25,269.7,269.7,2010-09-30,12168000.0,1811.0
2010-09-08,268.95,274.9,268.95,273.6,273.6,2010-09-30,12369000.0,2876.0
2010-09-09,274.35,279.5,274.35,278.45,278.45,2010-09-30,12476000.0,3950.0
2010-09-13,280.0,281.3,277.4,278.95,278.95,2010-09-30,12213000.0,1816.0
2010-09-14,278.1,283.6,275.35,279.55,279.55,2010-09-30,12026000.0,2682.0
2010-09-15,279.0,281.25,277.2,278.7,278.7,2010-09-30,11979000.0,1773.0
2010-09-16,280.0,282.6,278.45,279.5,279.5,2010-09-30,11974000.0,1965.0
2010-09-17,280.4,285.35,278.2,283.6,283.6,2010-09-30,11781000.0,2196.0
2010-09-20,284.5,296.2,283.55,294.2,294.2,2010-09-30,11186000.0,4825.0
2010-09-21,296.0,301.35,290.15,295.7,295.7,2010-09-30,10406000.0,4714.0
2010-09-22,295.7,300.35,290.45,299.15,299.15,2010-09-30,10119000.0,3668.0
2010-09-23,298.95,305.1,295.8,304.35,304.35,2010-09-30,9539000.0,5198.0
2010-09-24,305.1,318.9,304.75,316.3,316.3,2010-09-30,8493000.0,16602.0
2010-09-27,318.1,320.3,309.25,310.0,310.0,2010-09-30,7251000.0,5713.0
2010-09-28,310.25,310.8,306.15,307.9,307.9,2010-09-30,5960000.0,4206.0
2010-09-29,308.0,309.7,304.25,306.3,306.3,2010-09-30,4337000.0,4544.0
2010-09-30,307.4,312.2,307.0,310.75,310.75,2010-10-28,9044000.0,3989.0
2010-10-01,311.2,316.25,308.4,312.45,312.45,2010-10-28,10290000.0,6350.0
2010-10-04,313.75,315.8,308.5,310.9,310.9,2010-10-28,10463000.0,2846.0
2010-10-05,311.85,311.95,305.1,305.8,305.8,2010-10-28,11391000.0,2941.0
2010-10-06,307.2,308.0,302.5,303.4,303.4,2010-10-28,11967000.0,2157.0
2010-10-07,303.5,309.8,296.4,298.4,298.4,2010-10-28,12900000.0,5918.0
2010-10-08,299.2,302.0,295.5,297.6,297.6,2010-10-28,13006000.0,3266.0
2010-10-11,299.0,301.4,296.1,296.55,296.55,2010-10-28,13068000.0,1882.0
2010-10-12,295.5,297.05,291.9,293.7,293.7,2010-10-28,13004000.0,2204.0
2010-10-13,294.0,306.3,292.8,305.0,305.0,2010-10-28,12563000.0,4756.0
2010-10-14,305.7,306.9,298.0,300.2,300.2,2010-10-28,11996000.0,2703.0
2010-10-15,300.7,308.5,298.5,300.0,300.0,2010-10-28,11675000.0,3177.0
2010-10-18,298.35,303.45,293.45,299.55,299.55,2010-10-28,12099000.0,2507.0
2010-10-19,299.3,303.45,294.55,297.9,297.9,2010-10-28,11692000.0,3197.0
2010-10-20,296.2,301.6,293.6,295.1,295.1,2010-10-28,11653000.0,1927.0
2010-10-21,296.85,308.4,294.6,307.65,307.65,2010-10-28,11801000.0,4601.0
2010-10-22,308.1,309.5,300.45,302.85,302.85,2010-10-28,11774000.0,2465.0
2010-10-25,304.05,309.5,303.5,306.8,306.8,2010-10-28,11466000.0,7346.0
2010-10-26,308.35,308.35,298.65,299.6,299.6,2010-10-28,8860000.0,4335.0
2010-10-27,299.85,300.0,292.25,293.55,293.55,2010-10-28,6319000.0,6147.0
2010-10-28,291.8,299.9,288.4,293.1,293.1,2010-11-25,12328000.0,8696.0
2010-10-29,292.65,294.15,288.65,293.0,293.0,2010-11-25,11949000.0,2067.0
2010-11-01,295.85,299.85,295.2,295.9,295.9,2010-11-25,11832000.0,1837.0
2010-11-02,295.4,297.75,293.6,294.8,294.8,2010-11-25,12048000.0,2083.0
2010-11-03,295.45,297.2,294.65,296.1,296.1,2010-11-25,11935000.0,1505.0
2010-11-04,298.1,302.7,295.3,299.55,299.55,2010-11-25,12018000.0,2478.0
2010-11-05,301.0,303.3,299.8,302.4,302.4,2010-11-25,12028000.0,1040.0
2010-11-08,303.55,309.25,303.25,306.3,306.3,2010-11-25,12065000.0,3437.0
2010-11-09,306.8,322.9,306.6,321.55,321.55,2010-11-25,13601000.0,11490.0
2010-11-10,321.8,322.65,314.7,316.7,316.7,2010-11-25,12853000.0,4443.0
2010-11-11,317.65,318.45,308.0,309.9,309.9,2010-11-25,12130000.0,3021.0
2010-11-12,309.8,310.4,301.0,302.6,302.6,2010-11-25,11439000.0,3382.0
2010-11-15,303.9,305.55,298.15,304.45,304.45,2010-11-25,11338000.0,1870.0
2010-11-16,303.15,305.75,295.85,298.3,298.3,2010-11-25,11224000.0,3003.0
2010-11-18,302.0,303.65,295.35,301.1,301.1,2010-11-25,10672000.0,3268.0
2010-11-19,300.35,306.2,298.1,300.05,300.05,2010-11-25,10872000.0,4546.0
2010-11-22,301.15,303.45,297.75,300.4,300.4,2010-11-25,9761000.0,3503.0
2010-11-23,299.0,302.3,294.55,300.3,300.3,2010-11-25,6064000.0,9683.0
2010-11-24,300.85,302.5,298.15,299.4,299.4,2010-11-25,2848000.0,7055.0
2010-11-25,300.0,302.85,296.5,299.15,299.15,2010-12-30,11757000.0,3262.0
2010-11-26,298.55,301.4,292.3,294.6,294.6,2010-12-30,11237000.0,3169.0
2010-11-29,295.55,300.5,295.25,298.4,298.4,2010-12-30,11261000.0,1505.0
2010-11-30,296.4,301.3,294.7,299.35,299.35,2010-12-30,11508000.0,2069.0
2010-12-01,298.8,300.95,296.75,298.6,298.6,2010-12-30,12067000.0,2232.0
2010-12-02,299.0,300.6,296.0,297.55,297.55,2010-12-30,12337000.0,1988.0
2010-12-03,297.95,306.3,297.7,301.0,301.0,2010-12-30,12724000.0,4932.0
2010-12-06,302.0,304.8,299.5,300.65,300.65,2010-12-30,12645000.0,1795.0
2010-12-07,300.95,302.55,297.15,297.9,297.9,2010-12-30,12093000.0,2471.0
2010-12-08,296.85,298.85,294.55,297.3,297.3,2010-12-30,11765000.0,1306.0
2010-12-09,297.95,298.65,283.75,289.2,289.2,2010-12-30,11143000.0,3166.0
2010-12-10,291.35,298.75,290.25,297.2,297.2,2010-12-30,10857000.0,1714.0
2010-12-13,296.15,302.9,295.65,301.55,301.55,2010-12-30,11223000.0,2724.0
2010-12-14,298.7,302.05,298.1,299.2,299.2,2010-12-30,11160000.0,1185.0
2010-12-15,299.75,301.5,297.0,299.45,299.45,2010-12-30,11526000.0,1583.0
2010-12-16,299.35,300.45,294.5,295.3,295.3,2010-12-30,12143000.0,2348.0
2010-12-20,294.1,296.75,290.05,295.75,295.75,2010-12-30,12423000.0,1526.0
2010-12-21,296.55,297.0,293.25,294.65,294.65,2010-12-30,11426000.0,2615.0
2010-12-22,294.35,296.15,293.9,294.6,294.6,2010-12-30,9696000.0,3053.0
2010-12-23,294.35,295.9,292.05,292.55,292.55,2010-12-30,8321000.0,3218.0
2010-12-24,292.95,296.95,291.55,296.45,296.45,2010-12-30,8086000.0,1443.0
2010-12-27,297.0,298.3,295.1,297.75,297.75,2010-12-30,5645000.0,3395.0
2010-12-28,298.45,298.45,294.9,295.65,295.65,2010-12-30,3793000.0,3033.0
2010-12-29,295.65,305.7,295.1,304.9,304.9,2010-12-30,2603000.0,5257.0
2010-12-30,306.1,311.5,305.2,310.45,310.45,2011-01-27,11292000.0,2795.0
2010-12-31,311.8,317.05,308.75,313.95,313.95,2011-01-27,11695000.0,2495.0
2011-01-03,313.7,317.85,312.0,315.05,315.05,2011-01-27,11886000.0,1785.0
2011-01-04,315.95,330.35,315.55,322.2,322.2,2011-01-27,12925000.0,8951.0
2011-01-05,322.3,328.95,319.1,327.4,327.4,2011-01-27,12896000.0,5319.0
2011-01-06,328.5,329.8,314.2,321.2,321.2,2011-01-27,12668000.0,6028.0
2011-01-07,322.0,323.9,311.4,313.35,313.35,2011-01-27,12224000.0,3646.0
2011-01-10,312.3,318.0,306.55,308.8,308.8,2011-01-27,12320000.0,2921.0
2011-01-11,309.7,312.95,303.25,308.55,308.55,2011-01-27,12482000.0,3373.0
2011-01-12,310.5,311.0,302.3,306.5,306.5,2011-01-27,13160000.0,3787.0
2011-01-13,307.0,307.85,300.5,302.5,302.5,2011-01-27,13458000.0,3356.0
2011-01-14,303.5,313.15,301.1,302.1,302.1,2011-01-27,13272000.0,5930.0
